epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2623,2.59871,4.41117,2.63709,0.83064,0.5,0.41525,0.12479,2.75666,3.45692,3.25558,5.001e-05,5.001e-05,5.001e-05
2,77.4709,2.19218,2.32848,2.12045,1,0.49621,0.50579,0.20036,2.37858,4.20234,2.2146,0.00011438,0.00011438,0.00011438
3,114.977,2.19011,2.3958,2.08313,0.9728,0.5,0.50172,0.22472,1.71549,4.38913,1.7865,0.000176109,0.000176109,0.000176109
4,153.013,2.00252,2.40972,2.06698,0.31569,0.5,0.33167,0.19493,1.39508,5.93881,1.65022,0.000235197,0.000235197,0.000235197
5,190.505,2.16553,2.25788,2.16435,0.32177,0.5,0.33167,0.17005,1.55828,6.11135,1.72927,0.000291645,0.000291645,0.000291645
6,224.505,1.96997,2.07376,2.14886,0.82851,0.5,0.41612,0.19375,1.7592,6.64226,1.77359,0.000345452,0.000345452,0.000345452
7,258.596,1.80615,2.89375,1.86088,0.82814,0.5,0.34071,0.17185,1.70996,3.21209,1.71176,0.000396619,0.000396619,0.000396619
8,296.67,1.70313,1.79214,1.78164,0.82834,0.5,0.3329,0.14565,1.75263,3.24419,1.76787,0.000445146,0.000445146,0.000445146
9,338.706,1.92036,2.09862,1.85458,0.11377,0.25,0.09759,0.04779,1.73358,3.48784,1.81576,0.000491032,0.000491032,0.000491032
10,379.768,2.07012,2.11412,2.0595,0.32635,0.5,0.3339,0.11284,1.77222,3.22061,1.97982,0.000534277,0.000534277,0.000534277
11,428.14,1.86057,1.49026,2.01099,0.32301,0.5,0.33167,0.15834,1.67021,3.7097,1.77374,0.000574882,0.000574882,0.000574882
12,473.287,1.84974,1.67417,1.947,0.81159,0.5,0.33167,0.16583,1.51383,3.0595,1.68974,0.000612846,0.000612846,0.000612846
13,518.13,1.80837,1.78704,1.92207,0.73878,0.25,0.12534,0.05014,2.11931,3.7079,2.25168,0.00064817,0.00064817,0.00064817
14,565.536,1.96886,1.49449,1.94712,0.73462,0.25,0.12518,0.06259,2.34994,3.13583,2.85806,0.000680853,0.000680853,0.000680853
15,608.596,1.76063,1.42222,1.84847,0.82418,0.47254,0.41417,0.07024,2.4125,3.92969,2.43869,0.000710895,0.000710895,0.000710895
16,657.943,1.92678,2.18219,1.92748,0.28656,0.25,0.28917,0.0558,2.58218,5.86977,2.52358,0.000738298,0.000738298,0.000738298
17,704.586,1.85472,1.45215,1.90361,0.35903,0.25,0.24819,0.07446,2.90945,4.44671,3.50381,0.000763059,0.000763059,0.000763059
18,745.025,1.82774,1.52032,1.89503,0.74466,0.5,0.3725,0.28531,1.58165,3.11792,1.83458,0.00078518,0.00078518,0.00078518
19,791.3,1.81512,1.44439,1.88273,0.8213,0.25,0.24958,0.19861,2.63217,3.4185,3.81712,0.000804661,0.000804661,0.000804661
20,833.104,1.89885,1.45914,1.84993,0.81254,0.25,0.24932,0.10052,2.95117,4.02197,4.08185,0.000821501,0.000821501,0.000821501
21,873.067,1.7434,1.37563,1.85305,1,0.48099,0.4975,0.29832,1.60496,2.84527,1.74015,0.0008357,0.0008357,0.0008357
22,917.47,1.74644,1.28164,1.82255,0.81354,0.5,0.41417,0.24332,1.54051,3.0581,1.76562,0.000847259,0.000847259,0.000847259
